accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1024.360029,-21.536064,21.658428,-120.321138,-464.095818,-1478.231124
-1024.421211,-22.260051,21.964338,-177.616918,-246.371854,-1455.312812
-1022.952843,-21.291336,23.483691,-200.53523,-303.667634,-1461.04239
-1023.075207,-19.822968,23.361327,-200.53523,-326.585946,-1506.879014
-1023.503481,-19.57824,24.340239,-326.585946,-131.780294,-1489.69028
-1023.625845,-19.211148,22.198869,-177.616918,-263.560588,-1455.312812
-1024.961652,-18.242433,23.055417,-137.509872,-68.754936,-1380.828298
-1024.482393,-20.557152,22.627143,-194.805652,-51.566202,-1524.067748
-1024.849485,-20.006514,21.780792,-194.805652,34.377468,-1375.09872
-1024.604757,-19.57824,20.863062,-194.805652,286.4789,-1357.909986
-1025.8182,-20.740698,22.321233,-211.994386,280.749322,-1415.205766
-1024.961652,-20.740698,20.251242,-183.346496,234.912698,-1409.476188
-1023.564663,-21.352518,23.300145,-97.402826,11.459156,-1478.231124
-1023.687027,-21.71961,22.749507,-114.59156,-332.315524,-1541.256482
-1025.451108,-22.260051,21.046608,-154.698606,-429.71835,-1478.231124
-1024.604757,-21.168972,20.557152,-103.132404,-194.805652,-1455.312812
-1024.360029,-19.700604,23.238963,-97.402826,-137.509872,-1380.828298
-1025.20638,-19.57824,22.086702,-131.780294,-744.84514,-1461.04239
-1025.51229,-19.088784,22.688325,-114.59156,-515.66202,-1461.04239
-1025.389926,-19.333512,20.128878,-103.132404,80.214092,-1363.639564
-1025.20638,-19.761786,20.924244,-131.780294,-114.59156,-1415.205766
-1025.20638,-18.844056,22.02552,-154.698606,-211.994386,-1415.205766
-1024.482393,-20.863062,26.287866,-429.71835,-744.84514,-1546.98606
-1025.328744,-20.006514,20.128878,-131.780294,97.402826,-1375.09872
-1024.115301,-21.352518,25.676046,-166.157762,-154.698606,-1478.231124
-1024.360029,-21.536064,22.321233,-80.214092,34.377468,-1455.312812
-1024.543575,-21.71961,20.067696,-80.214092,-183.346496,-1506.879014
-1024.849485,-20.006514,19.088784,-217.723964,263.560588,-1340.721252
-1023.197571,-22.02552,22.086702,-177.616918,-154.698606,-1512.608592
-1024.910667,-20.863062,22.994235,-63.025358,-578.687378,-1558.445216
-1024.665939,-19.822968,22.198869,-51.566202,-326.585946,-1495.419858
