accX,accY,accZ,gyroX,gyroY,gyroZ
-8.2798,-0.1633,-2.6249,-0.7439,4.8367,1.0828
-5.5980,2.2445,-3.7801,-0.4404,2.9793,0.3260
-4.7037,5.4239,-6.3027,-0.7083,1.1987,-0.0675
-4.1964,4.5823,-11.1751,0.0134,0.0681,0.0490
-9.1466,-0.5533,-0.9781,-0.0452,-0.4100,0.0305
-9.1466,-0.5533,-0.9781,-0.0452,-0.4100,0.0305
-10.2682,-0.3517,-2.0530,0.1605,0.9997,0.2633
-12.3972,-1.2024,-0.7777,0.7668,3.3326,0.5652
-14.2427,-0.8100,-0.0748,0.5318,4.9573,0.6277
-13.9005,-0.8560,-2.5819,0.0195,5.0036,0.6025
-12.2913,-0.9027,-4.3274,-0.2697,5.0036,0.5501
-10.4853,-0.4355,-3.8267,-0.5924,5.0036,0.6025
-6.6772,-0.9661,-4.0505,-0.9259,5.0036,0.3286
-2.3545,1.0612,-7.8778,-1.3176,4.1670,0.4911
-9.9829,-0.7023,-5.3964,-0.0438,-1.0350,0.1839
-9.8895,-0.8788,-6.0054,-0.0626,-0.3969,0.2755
-10.2191,-0.9667,-6.2231,0.4953,1.5388,0.4859
-13.4339,0.3416,-3.4600,-0.3453,4.3517,0.9995
-14.2582,-2.0207,-1.0403,1.1165,5.0036,0.9471
-13.0893,-0.0712,-2.2187,0.0451,5.0036,0.6944
-10.3687,1.0421,-2.2576,0.4047,4.9854,0.5420
-7.5553,-0.5689,-5.5167,-0.2957,4.5177,0.7885
-4.9292,0.6281,-6.3111,-0.5122,4.1533,0.5767
-9.6748,-0.9314,1.8969,-0.0136,-0.1295,-0.1460
-9.4050,-0.9135,2.0429,-0.0136,-0.1295,-0.1460
-9.5677,-0.3003,0.7334,-1.0644,-0.1651,0.0435
-9.5892,2.5711,-3.7765,-0.1058,0.8409,0.7129
-10.8024,4.0899,-8.2624,0.6926,2.9193,2.1968
-13.9394,3.1896,-7.5870,1.3833,5.0036,3.0661
-17.1320,5.0471,-5.1242,1.3263,5.0036,3.3905
-13.5703,3.5533,-3.4074,1.7810,5.0036,3.2243
-6.1519,0.5324,-1.7509,0.8184,4.5331,2.4671
-0.6491,-2.3097,-5.2750,1.9120,2.0042,0.8169
-9.8578,-0.8668,-0.0467,-0.1518,-1.1409,-0.4429
-9.8578,-0.8668,-0.0467,0.0113,-0.9571,-0.4429
-10.1133,-0.8716,1.2628,-0.4924,-0.3916,-0.0644
-9.7519,0.7968,-2.0459,0.4096,1.2758,1.0237
-11.0016,0.9637,-3.0724,0.2257,2.9164,1.8535
-13.7665,3.5300,-3.7226,0.3732,4.8142,2.8924
-15.7543,4.9651,-5.2947,0.7236,5.0036,4.1226
-14.9611,4.1928,-6.8028,0.8189,5.0036,4.6023
-10.4148,1.6828,-4.7743,0.8192,5.0036,3.9746
-3.6712,-0.1860,-3.2937,0.6015,4.9120,2.5884
2.2235,0.4534,0.7256,0.7879,1.8526,0.5875
-9.1597,2.2373,-2.3934,0.5202,-0.2335,-0.0591
-9.1860,2.6052,-2.7619,0.1761,0.1287,0.2155
-9.6526,2.8259,-4.6427,0.0173,1.4394,1.0322
-12.5707,4.1761,-4.9011,0.8885,3.3822,2.4290
-15.1591,2.7332,-4.8933,0.9780,5.0036,3.3792
-15.4708,3.0084,-4.0104,1.9426,5.0036,3.1515
-12.1926,4.1294,-4.0062,0.6468,5.0036,3.0846
-6.9906,2.3372,-5.3474,1.0096,5.0036,2.8634
-2.0812,0.0275,-6.9051,0.8494,4.4610,2.1559
-9.9290,1.7109,-2.9444,-0.3144,-1.1787,-0.6384
-9.6072,1.9920,-2.8810,-0.1625,-0.8679,-0.3881
-9.1771,2.1996,-3.9613,-0.6127,0.1950,0.5122
-10.4877,2.3103,-5.7529,0.7216,2.4826,1.8386
-13.1821,1.8413,-4.4842,1.1944,4.4227,2.5985
-14.4491,3.3308,-3.5474,0.8086,5.0036,2.8613
-13.4895,4.0217,-6.0832,0.6397,5.0036,3.2293
-10.2191,3.1478,-5.0411,1.8865,5.0036,3.0511
-6.1848,0.7220,-6.9105,0.4010,4.5890,2.6757
-11.7039,1.7934,-2.6076,-1.1272,-2.6990,-1.9908
-11.7039,1.7934,-3.0156,-1.1272,-2.6990,-1.9908
-9.7280,1.2030,-5.3091,-0.4563,-1.2868,-0.9416
-8.6710,0.5827,-3.6538,1.0227,0.8552,0.5128
-10.1713,1.1545,-2.2929,-0.0145,2.5027,1.9513
-12.8393,2.9976,-3.9781,1.1359,3.9639,3.1052
-13.7414,2.1613,-5.9324,0.3714,5.0036,3.7361
-14.2935,3.1902,-6.3781,1.7706,5.0036,3.6206
-11.3414,2.9886,-4.1689,-0.2636,5.0036,3.3643
-10.4285,1.4985,-2.1003,-1.1063,-2.3886,-2.0569
-9.6203,2.1081,-2.1081,-1.1726,-2.1156,-1.8468
-9.3410,1.1952,-3.2895,-0.5234,-1.1522,-1.0357
-8.8708,-0.5031,-2.1003,0.6868,0.6747,0.3083
-10.5966,0.5659,-1.9460,0.5064,2.3549,1.3196
-13.4842,2.9880,-2.8283,1.0620,4.1139,2.4100
-15.1328,2.7416,-6.1250,0.3775,5.0036,3.4208
-16.8239,3.7442,-5.9737,1.4403,5.0036,3.7556
-14.4975,3.0233,-5.9898,0.6109,5.0036,3.9175
-8.4221,1.1480,-2.8337,1.8302,5.0036,3.1017
-10.3872,1.3322,-2.0770,-0.3600,-2.6076,-1.9300
-9.7442,1.1838,-1.9651,-0.3389,-2.2958,-1.6936
-9.3356,1.8215,-3.2142,-0.1176,-1.2233,-0.8538
-9.3482,1.7874,-3.2895,0.8564,1.1706,0.7967
-12.1053,1.3292,-3.6712,0.8993,3.7484,2.2187
-16.5679,2.4754,-3.2453,1.4899,5.0036,3.0667
-17.5890,4.4399,-2.1745,1.7973,5.0036,3.4499
-14.4850,1.8311,-4.4752,1.9685,5.0036,3.5064
-9.8219,1.0020,-1.7498,1.2112,5.0036,2.5983
-4.3627,0.4696,-3.8841,0.2891,4.4138,1.9283
-10.2251,1.4058,-4.0726,-1.4546,-2.1496,-1.1808
-9.3129,1.5500,-4.5583,-1.4546,-2.1496,-1.0392
-9.4875,2.3629,-3.0162,-0.0192,-0.4959,-0.2424
-10.0576,1.7533,-2.7021,-0.0698,1.5806,1.3728
-13.4363,1.2120,-3.3422,0.9613,3.5349,2.3815
-14.2744,0.7992,-3.2578,0.2752,4.6809,2.4517
-12.9823,1.7121,-1.9256,1.0763,5.0036,2.0582
-9.9356,3.6239,-2.4993,-0.2309,4.7217,2.1819
-6.4164,0.5653,-6.9858,1.4479,4.5050,2.0155
-4.1731,0.9416,-6.7448,-0.0925,4.2570,1.1026
-1.6576,4.3406,-6.0377,1.0861,3.2805,0.2854
1.6642,3.6766,-6.2219,0.6034,1.4419,0.0658
1.9161,2.4371,-8.3450,1.4716,-0.4041,-0.2540
-10.8485,0.2160,-3.5133,-0.2972,-2.2935,-0.8415
-10.4925,0.1944,-3.2201,-0.1642,-1.9619,-0.7462
-10.2263,1.3502,-3.1741,-0.3474,-0.8954,-0.2866
-10.7085,1.1683,-5.5238,-0.2934,1.9497,1.3873
-12.3667,-0.2955,-4.9992,0.8682,4.4250,1.9018
-14.2834,3.1358,-3.0066,0.8774,5.0036,2.0855
-12.0945,1.9573,-1.4393,0.9791,5.0036,2.1070
