accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1392.8253,1125.7364,768.5814,6807.5024,-284900.1250,286685.1250
-540.0925,61.6499,-7.8053,-122.5000,77568.7812,-114493.7890
-540.0925,61.6499,-7.8053,-122.5000,77568.7812,-114493.7890
-393.8645,-90.8590,-122.2632,2406.2509,46725.0156,-56761.2734
-325.6897,-26.8308,2.1953,-23555.0097,4445.0014,13798.7558
-390.8765,183.3644,106.1038,16310.0058,-48317.5156,91997.5312
-770.9597,636.2567,323.6774,-60777.5195,-156336.3125,230125.0937
-1306.6617,1096.4055,745.0435,-665.0003,-241185.0781,286685.1250
-1072.3797,826.5726,684.8571,71023.7734,-270558.8750,286685.1250
-271.4793,-146.8378,-189.4623,-42428.7656,6553.7524,-9030.0029
-271.4793,-146.8378,-189.4623,-42428.7656,6553.7524,-9030.0029
-362.0943,5.9150,69.8821,-20230.0058,-36723.7617,52928.7656
-473.6253,48.1735,60.6133,1470.0004,-88025.0312,119577.5468
-824.4384,510.0908,182.5716,4593.7519,-158060.0625,208591.3281
-1297.7586,1453.4995,886.5151,-4007.5014,-213036.3125,286685.1250
-1579.5434,1082.0754,887.2470,80526.2812,-256138.8281,286685.1250
-409.9020,-447.1603,-230.4403,-437.5002,21332.5078,-36443.7617
-403.9260,-402.4016,-218.4884,8933.7529,22417.5097,-40188.7656
-691.8087,36.5265,12.1958,-21000.0058,-4908.7519,5363.7519
-535.3972,-12.6837,-75.3093,-15846.2568,-77061.2734,130628.7968
-702.1751,256.1125,268.1254,21017.5097,-122867.5390,203770.0625
-1172.1416,770.7767,375.8146,40267.5156,-202002.5625,286685.1250
-1153.2990,1064.0864,759.2516,3666.2514,-199281.3281,286685.1250
-874.9902,1323.5528,932.0057,28175.0097,-205187.5781,286685.1250
-486.1869,745.0435,524.9087,10395.0039,-177178.8125,263795.0937
-663.8803,351.5449,155.9847,15190.0048,96048.7890,-186033.8125
-606.9867,335.5684,216.8419,-3893.7514,87815.0312,-170493.8125
-500.7609,-120.0680,-106.7745,13116.2548,52158.7695,-100493.7890
-311.5426,-14.8179,-55.8569,-19512.5078,4856.2519,-18243.7578
-379.4124,67.9308,39.0267,-7481.2534,-56008.7695,83483.7812
-729.9207,218.1225,88.9076,13938.7558,-126420.0468,190680.0781
-1136.5906,563.3865,374.0462,30283.7617,-169058.8125,273183.8750
-1169.2145,520.2743,728.8231,62895.0195,-161857.5625,274942.5937
-882.1247,900.1746,561.7401,-18532.5078,-153553.8125,185657.5781
-636.6835,872.5510,859.5015,-43190.0156,-147113.8125,151943.7968
-402.7674,714.2490,518.2010,31508.7597,-112936.2890,88182.5312
-344.9592,857.5501,738.2139,-20956.2578,-38088.7656,16240.0048
-273.1867,854.9280,816.9990,-24911.2597,19083.7578,-51992.5195
162.3875,-171.2295,-14.2691,-33433.7617,-66500.0234,86170.0312
190.4989,-72.0164,37.9290,-31307.5117,-79738.7812,103162.5390
-151.5942,779.9235,366.5458,-57312.5195,-188658.8125,253715.0937
-1397.6425,1466.3660,710.1024,83238.7812,-286685.1250,286685.1250
-1425.9368,1122.1997,1050.3660,90142.5312,-281041.3437,286685.1250
-802.4859,885.1126,451.4288,-6352.5019,-113172.5468,197968.8281
-982.3745,1268.0007,1026.5233,-18978.7558,40381.2656,-100030.0390
-66.4063,-321.7261,71.5895,-20711.2578,-27580.0097,60996.2695
-66.4063,-321.7261,71.5895,-20711.2578,-27580.0097,60996.2695
-330.3852,352.9474,155.9237,-12880.0039,-142073.8125,196411.3125
-1146.4083,864.6237,430.0251,-46655.0195,-278958.8437,286685.1250
-1201.4726,1287.6971,712.0538,107222.5312,-286676.3437,286685.1250
-654.8553,859.8063,623.5730,42568.7656,-216230.0781,286685.1250
-584.4854,713.3953,843.4028,35455.0117,-44607.5156,62492.5195
-351.0571,-99.0912,-112.9944,3307.5012,61976.2734,-81541.2812
-351.0571,-99.0912,-112.9944,3307.5012,61976.2734,-81541.2812
-113.0554,-217.1468,-304.1641,20335.0078,6151.2524,23913.7578
55.6130,-51.8933,123.2999,-14507.5048,-59307.5195,101622.5390
-441.4892,648.5134,307.0911,-24963.7578,-194381.3125,261738.8437
-1248.8533,1389.7762,716.9321,99601.2812,-286685.1250,286685.1250
-1259.5856,1127.2608,869.0142,33836.2617,-283211.3437,286685.1250
-672.4783,943.5917,682.9058,-1303.7504,-185885.0625,285608.8750
-445.3919,-92.3834,-157.0823,-21796.2578,71688.7734,-127723.7890
-445.3919,-92.3834,-157.0823,-21796.2578,71688.7734,-127723.7890
21.4037,42.5025,38.9657,-13370.0058,10797.5039,-25865.0097
-188.4866,264.7716,99.4570,-15268.7548,-129255.0390,158042.5625
-772.5451,698.9432,261.7836,-22295.0078,-243923.8281,286553.8437
-1156.8967,1287.4533,861.5137,83081.2812,-265142.5625,286685.1250
-1098.2958,917.4926,776.4478,120452.5468,-237562.5625,286685.1250
-793.8269,768.8863,448.5628,20308.7578,-82783.7812,162898.8125
-257.5150,15.7936,12.5007,-5092.5019,45762.5156,-102068.7968
-195.8041,8.7200,-41.4658,-23056.2578,35490.0156,-81795.0312
12.0129,-101.7742,-294.8343,-13982.5058,-11550.0048,23992.5078
-54.6373,117.9337,142.1424,-29531.2597,-104763.7890,150946.3125
-928.4688,778.6431,394.1084,-33993.7617,-257232.6093,286685.1250
-1510.2711,1262.4517,842.6711,79528.7812,-286685.1250,286685.1250
-1059.0861,1321.2967,1223.0592,24832.5097,-286685.1250,286685.1250
