accX,accY,accZ,gyroX,gyroY,gyroZ
-9.9733,-0.5593,0.4295,-0.0023,-0.0041,-0.0425
-9.9888,-0.6036,0.4325,-0.0024,-0.0017,-0.0264
-9.9906,-0.5856,0.4385,-0.0008,-0.0029,-0.0082
-9.9942,-0.5593,0.4217,-0.0008,0.0008,-0.0037
-9.9984,-0.5545,0.4361,-0.0012,-0.0026,-0.0188
-9.9864,-0.5611,0.4355,-0.0017,-0.0015,-0.0255
-9.9948,-0.5653,0.4361,-0.0017,-0.0020,-0.0160
-9.9912,-0.5444,0.4271,-0.0020,-0.0020,-0.0179
-9.9811,-0.5474,0.4307,-0.0023,-0.0029,-0.0328
-9.9972,-0.6120,0.4337,-0.0023,-0.0026,-0.0241
-9.9936,-0.5713,0.4379,-0.0006,0.0006,0.0008
-9.9745,-0.5480,0.4253,-0.0015,-0.0032,-0.0192
-9.9888,-0.5910,0.4289,-0.0015,-0.0024,-0.0247
-9.9841,-0.5521,0.4307,-0.0011,0.0003,-0.0093
-9.9906,-0.5701,0.4343,-0.0011,-0.0018,-0.0084
-9.9888,-0.5444,0.4253,-0.0011,-0.0018,-0.0183
-10.0008,-0.5623,0.4235,-0.0024,-0.0021,-0.0307
-9.9936,-0.5659,0.4409,-0.0018,-0.0024,-0.0243
-9.9990,-0.5569,0.4397,-0.0015,-0.0021,-0.0177
-9.9858,-0.5737,0.4247,-0.0017,-0.0015,-0.0238
-9.9960,-0.5844,0.4367,-0.0015,-0.0021,-0.0212
-9.9906,-0.5862,0.4391,-0.0008,-0.0015,-0.0052
-9.9852,-0.5492,0.4205,-0.0015,-0.0003,-0.0119
-9.9823,-0.5749,0.4385,-0.0023,-0.0035,-0.0316
-9.9990,-0.5809,0.4421,-0.0017,-0.0003,-0.0136
-9.9978,-0.5617,0.4271,-0.0015,-0.0023,-0.0174
-9.9817,-0.5563,0.4427,-0.0023,-0.0018,-0.0270
-10.0032,-0.5868,0.4289,-0.0020,-0.0014,-0.0275
-9.9835,-0.5862,0.4301,-0.0012,0.0000,0.0000
-9.9876,-0.5354,0.4355,-0.0006,0.0000,-0.0003
-9.9984,-0.5145,0.4217,-0.0020,-0.0024,-0.0308
-9.9924,-0.5707,0.4391,-0.0020,-0.0038,-0.0420
-9.9984,-0.5844,0.4391,-0.0017,0.0006,-0.0250
-9.9757,-0.5025,0.4349,-0.0024,-0.0037,-0.0344
-9.9936,-0.6718,0.4582,-0.0023,-0.0072,-0.0295
-9.9972,-0.5629,0.4307,0.0008,0.0035,0.0235
-9.9781,-0.5545,0.4379,-0.0020,-0.0032,-0.0342
-9.9936,-0.5737,0.4493,-0.0035,-0.0031,-0.0632
-9.9799,-0.6820,0.4373,-0.0021,-0.0034,-0.0244
-9.9847,-0.5276,0.4271,-0.0009,0.0006,0.0072
-9.9876,-0.5809,0.4433,-0.0021,-0.0043,-0.0402
-9.9942,-0.6138,0.4343,-0.0027,-0.0043,-0.0325
-10.0086,-0.5545,0.4193,-0.0012,0.0003,-0.0237
-9.9799,-0.6084,0.4307,-0.0034,-0.0005,-0.0654
-9.9745,-0.6736,0.4540,-0.0017,-0.0029,-0.0266
-10.0026,-0.6479,0.4397,-0.0002,-0.0005,0.0209
-9.9900,-0.5844,0.4331,-0.0002,-0.0017,0.0029
-9.9852,-0.5635,0.4313,-0.0014,-0.0035,-0.0243
-9.9763,-0.5874,0.4355,-0.0024,0.0008,-0.0281
-9.9852,-0.5934,0.4427,-0.0011,0.0003,-0.0257
-9.9942,-0.6102,0.4463,-0.0003,-0.0024,0.0073
-9.9864,-0.5079,0.4259,0.0005,0.0032,0.0267
-9.9870,-0.5300,0.4397,-0.0017,-0.0055,-0.0336
-9.9942,-0.5916,0.4295,-0.0027,-0.0023,-0.0310
-9.9858,-0.5916,0.4427,-0.0017,-0.0014,-0.0267
-9.9906,-0.5665,0.4241,-0.0021,-0.0015,-0.0276
-9.9930,-0.6054,0.4361,-0.0026,-0.0035,-0.0336
-9.9847,-0.5916,0.4271,-0.0017,-0.0012,-0.0186
-9.9978,-0.5605,0.4301,-0.0012,-0.0021,-0.0212
-9.9882,-0.6144,0.4301,-0.0024,-0.0032,-0.0321
-9.9954,-0.6006,0.4373,-0.0018,-0.0009,-0.0140
-9.9870,-0.5844,0.4373,-0.0012,-0.0008,-0.0206
-10.0002,-0.6060,0.4355,-0.0021,-0.0023,-0.0307
-9.9930,-0.6018,0.4301,-0.0018,-0.0015,-0.0170
-9.9876,-0.5958,0.4361,-0.0021,0.0008,-0.0244
-9.9888,-0.6030,0.4319,-0.0012,-0.0026,-0.0220
-9.9960,-0.6006,0.4457,-0.0020,0.0000,-0.0203
-9.9912,-0.6012,0.4229,-0.0020,-0.0026,-0.0324
-10.0038,-0.6203,0.4403,-0.0020,-0.0038,-0.0319
-9.9864,-0.6323,0.4337,-0.0024,0.0012,-0.0394
-9.9954,-0.6353,0.4487,-0.0018,-0.0046,-0.0073
-9.9876,-0.6215,0.4199,-0.0006,0.0008,0.0064
-10.0014,-0.5348,0.4331,-0.0018,-0.0009,-0.0134
-9.9727,-0.5737,0.4612,-0.0011,-0.0057,-0.0131
-9.9805,-0.6879,0.4403,-0.0018,-0.0027,-0.0260
-9.9870,-0.6006,0.4481,-0.0017,-0.0005,-0.0131
-10.0062,-0.6335,0.4319,-0.0012,-0.0027,-0.0157
-9.9852,-0.6185,0.4451,-0.0015,-0.0015,-0.0070
-9.9924,-0.5844,0.4373,-0.0015,-0.0032,-0.0108
-10.0092,-0.5773,0.4265,-0.0006,-0.0005,-0.0070
-9.9978,-0.5773,0.4409,-0.0017,-0.0024,-0.0250
-9.9835,-0.5821,0.4373,-0.0026,-0.0017,-0.0348
-9.9870,-0.6341,0.4373,-0.0024,-0.0020,-0.0344
-9.9912,-0.6514,0.4235,-0.0015,-0.0038,-0.0170
-9.9948,-0.6281,0.4415,-0.0011,-0.0027,0.0049
-9.9984,-0.5695,0.4301,-0.0005,-0.0006,-0.0003
-9.9852,-0.5964,0.4331,-0.0020,-0.0018,-0.0276
-9.9882,-0.5988,0.4247,-0.0014,-0.0011,-0.0224
-9.9906,-0.5874,0.4355,-0.0012,-0.0020,-0.0238
-9.9984,-0.6173,0.4343,-0.0018,-0.0017,-0.0228
-9.9882,-0.6191,0.4433,-0.0008,-0.0027,-0.0124
-9.9984,-0.5701,0.4325,-0.0018,0.0006,-0.0144
-9.9900,-0.6066,0.4367,-0.0012,-0.0026,-0.0276
-9.9948,-0.6036,0.4421,-0.0009,-0.0018,-0.0107
-9.9888,-0.5821,0.4247,-0.0012,-0.0005,-0.0073
-9.9858,-0.5964,0.4361,-0.0018,-0.0014,-0.0203
-9.9847,-0.5850,0.4313,-0.0017,-0.0012,-0.0240
-9.9936,-0.5856,0.4475,-0.0015,-0.0006,-0.0168
-9.9852,-0.5623,0.4295,-0.0014,-0.0031,-0.0142
-9.9918,-0.5707,0.4301,-0.0009,-0.0006,-0.0050
-9.9912,-0.5587,0.4379,-0.0021,-0.0012,-0.0180
-9.9924,-0.5701,0.4355,-0.0021,-0.0043,-0.0348
-9.9793,-0.5922,0.4277,-0.0021,-0.0024,-0.0283
-9.9906,-0.5737,0.4307,-0.0015,-0.0008,-0.0145
-9.9930,-0.5815,0.4361,-0.0012,-0.0031,-0.0264
-9.9787,-0.6072,0.4397,-0.0009,-0.0008,-0.0119
-9.9811,-0.5480,0.4217,-0.0018,0.0011,-0.0269
-9.9942,-0.5731,0.4403,-0.0032,-0.0072,-0.0599
-9.9876,-0.6269,0.4235,-0.0012,-0.0003,-0.0086
-9.9876,-0.6012,0.4397,-0.0008,-0.0037,0.0006
-9.9799,-0.6036,0.4415,-0.0006,-0.0020,0.0090
-9.9882,-0.5521,0.4223,-0.0012,0.0002,-0.0017
-9.9894,-0.5629,0.4337,-0.0017,-0.0014,-0.0220
-9.9948,-0.5833,0.4313,-0.0015,-0.0034,-0.0273
-9.9835,-0.5904,0.4271,-0.0024,-0.0024,-0.0266
-9.9990,-0.5970,0.4397,-0.0011,-0.0009,-0.0240
-9.9984,-0.5815,0.4295,-0.0015,-0.0014,-0.0130
-9.9781,-0.5916,0.4289,-0.0018,-0.0014,-0.0124
-9.9960,-0.5785,0.4283,-0.0017,-0.0020,-0.0145
-9.9924,-0.5611,0.4301,-0.0017,-0.0014,-0.0118
-9.9942,-0.5617,0.4247,-0.0018,-0.0015,-0.0260
-9.9823,-0.6138,0.4427,-0.0017,-0.0027,-0.0229
-9.9841,-0.5629,0.4355,-0.0009,-0.0003,-0.0035
-9.9924,-0.5749,0.4355,-0.0015,-0.0021,-0.0211
-9.9757,-0.5898,0.4343,-0.0017,-0.0017,-0.0202
-9.9870,-0.5797,0.4205,-0.0014,-0.0008,-0.0173
-9.9870,-0.5767,0.4319,-0.0018,-0.0026,-0.0315
-9.9912,-0.5910,0.4271,-0.0015,-0.0018,-0.0244
-9.9948,-0.5922,0.4247,-0.0009,-0.0017,-0.0098
-9.9972,-0.5623,0.4283,-0.0011,-0.0009,-0.0122
-9.9888,-0.5809,0.4409,-0.0009,-0.0029,-0.0243
-9.9864,-0.5868,0.4331,-0.0008,-0.0005,-0.0020
-9.9888,-0.5527,0.4229,-0.0023,-0.0018,-0.0264
-9.9936,-0.6179,0.4421,-0.0017,-0.0034,-0.0269
-10.0020,-0.5695,0.4271,-0.0017,0.0002,-0.0125
-9.9793,-0.5803,0.4146,-0.0023,-0.0017,-0.0244
-9.9793,-0.5880,0.4445,-0.0017,-0.0020,-0.0217
-9.9954,-0.5635,0.4283,-0.0017,-0.0027,-0.0197
-9.9888,-0.5779,0.4361,-0.0018,-0.0017,-0.0127
-9.9727,-0.5486,0.4331,-0.0017,-0.0021,-0.0199
-9.9900,-0.5749,0.4421,-0.0023,-0.0032,-0.0408
-9.9948,-0.5892,0.4331,-0.0018,-0.0015,-0.0273
-9.9918,-0.6036,0.4385,-0.0015,-0.0023,-0.0121
-9.9888,-0.5785,0.4277,-0.0014,-0.0018,-0.0217
-9.9924,-0.6030,0.4259,-0.0021,-0.0014,-0.0200
-9.9972,-0.5844,0.4379,-0.0009,0.0002,0.0017
-10.0062,-0.5360,0.4235,-0.0017,-0.0018,-0.0255
-9.9948,-0.6126,0.4493,-0.0020,-0.0029,-0.0360
-10.0044,-0.5940,0.4385,-0.0008,-0.0015,-0.0110
-9.9864,-0.5779,0.4409,-0.0023,-0.0018,-0.0226
-9.9942,-0.5821,0.4379,-0.0012,-0.0020,-0.0125
-9.9936,-0.5611,0.4343,-0.0011,-0.0018,-0.0134
-10.0080,-0.5767,0.4289,-0.0021,-0.0017,-0.0295
-9.9984,-0.5886,0.4361,-0.0024,-0.0018,-0.0295
-9.9972,-0.5910,0.4289,-0.0015,-0.0009,-0.0238
-9.9870,-0.6030,0.4457,-0.0018,-0.0021,-0.0159
-10.0062,-0.5856,0.4373,-0.0009,-0.0006,0.0073
-9.9906,-0.5354,0.4134,-0.0017,-0.0006,-0.0102
-9.9858,-0.5922,0.4415,-0.0018,-0.0038,-0.0272
-9.9847,-0.5725,0.4337,-0.0014,-0.0003,-0.0145
-9.9984,-0.5689,0.4361,-0.0026,-0.0038,-0.0301
-9.9936,-0.5946,0.4295,-0.0015,-0.0011,-0.0232
-9.9960,-0.5850,0.4367,-0.0005,-0.0018,-0.0053
-9.9912,-0.5480,0.4259,-0.0011,-0.0011,-0.0105
-9.9948,-0.5833,0.4307,-0.0023,-0.0026,-0.0289
-9.9894,-0.5886,0.4289,-0.0018,-0.0017,-0.0250
-9.9990,-0.5761,0.4247,-0.0015,-0.0029,-0.0224
-9.9829,-0.5922,0.4223,-0.0020,-0.0018,-0.0241
-10.0032,-0.5940,0.4379,-0.0012,-0.0008,-0.0163
-10.0014,-0.5928,0.4265,-0.0020,-0.0029,-0.0128
-9.9876,-0.5844,0.4307,-0.0014,-0.0011,-0.0079
-9.9918,-0.5372,0.4349,-0.0021,-0.0008,-0.0273
-10.0128,-0.6006,0.4367,-0.0037,-0.0050,-0.0622
-9.9870,-0.6269,0.4421,-0.0020,0.0000,-0.0247
-9.9936,-0.5791,0.4235,-0.0012,-0.0040,-0.0131
-9.9769,-0.6203,0.4116,-0.0011,0.0009,-0.0058
-9.9936,-0.5354,0.4349,-0.0011,0.0003,-0.0108
-10.0068,-0.5916,0.4391,-0.0024,-0.0020,-0.0283
-9.9960,-0.6078,0.4433,-0.0023,-0.0046,-0.0258
-9.9787,-0.5779,0.4409,-0.0011,-0.0009,-0.0049
-9.9990,-0.5773,0.4271,-0.0014,-0.0018,-0.0252
-9.9954,-0.6245,0.4499,-0.0011,-0.0002,-0.0095
-9.9805,-0.5384,0.4295,-0.0009,0.0005,-0.0081
-9.9721,-0.5671,0.4337,-0.0023,-0.0047,-0.0385
-9.9769,-0.5928,0.4307,-0.0017,-0.0020,-0.0278
-9.9793,-0.6024,0.4409,-0.0026,0.0000,-0.0310
-10.0014,-0.6108,0.4361,-0.0020,-0.0040,-0.0275
-9.9876,-0.5928,0.4421,-0.0003,0.0018,0.0078
-9.9858,-0.5456,0.4217,-0.0009,-0.0032,-0.0168
